,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Private
Washington State University,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,10912,56,0
University of Michigan at Ann Arbor,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87,0
Pepperdine University,3821,2037,680,86,96,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66,1
Whitman College,1861,998,359,45,77,1220,46,16670,4900,750,800,80,83,10.5,51,13198,72,1
North Central College,1127,884,308,30,64,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76,1
Lindenwood College,810,484,356,6,33,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100,1
Georgian Court College,348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76,1
University of Central Florida,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46,0
Hiram College,922,729,244,37,66,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79,1
Western New England College,1650,1471,409,7,21,1803,1116,8994,5500,498,2065,74,97,15.4,15,8409,59,1
Southeast Missouri State University,2281,1870,1408,18,43,6553,1246,4680,3540,200,2150,75,76,17.1,8,5916,45,0
Northern Illinois University,10706,7219,2397,12,37,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56,0
Oklahoma Christian University,776,765,351,22,44,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45,1
Wesley College,980,807,350,10,25,872,448,9890,4674,500,1350,52,57,14.4,15,6243,84,1
University of Alabama at Birmingham,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33,0
Westfield State College,3100,2150,825,3,20,3234,941,5542,3788,500,1300,75,79,15.7,20,4222,65,0
Fordham University,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80,1
Angelo State University,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34,0
South Dakota State University,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15.0,29,5084,67,0
North Park College,465,361,176,19,39,879,156,12580,4345,400,970,76,79,13.1,24,10889,74,1
West Liberty State College,1164,1062,478,12,25,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,60,0
Seattle University,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89,1
University of Southern Mississippi,2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45,0
University of Evansville,2096,1626,694,35,67,2551,407,11800,4340,700,960,60,81,15.8,26,7780,77,1
Dana College,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54,1
Ohio Wesleyan University,2190,1700,458,36,65,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75,1
Delta State University,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,0
Our Lady of the Lake University,2308,1336,295,22,46,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37,1
SUNY College at Cortland,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53,0
Winona State University,3325,2047,1301,20,45,5800,872,4200,2700,300,1200,53,60,20.2,18,5318,58,0
Brenau University,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49,1
Saint Joseph's College IN,920,684,225,24,42,815,222,11200,4250,600,950,55,60,14.8,19,7360,67,1
John Brown University,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75,1
Virginia State University,2996,2440,704,2,30,3006,338,5587,4845,500,600,61,63,16.0,11,5733,31,0
Phillips University,692,576,174,19,50,597,83,10500,3860,600,940,58,64,11.6,19,8990,39,1
Tusculum College,626,372,145,12,34,983,40,7700,3400,450,800,70,70,21.9,28,4933,52,1
Judson College,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56,1
Rutgers at New Brunswick,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77,0
University of Hartford,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,10625,66,1
University of the South,1445,966,326,46,83,1129,24,15350,4080,450,810,89,93,10.3,52,18784,82,1
Texas A&M Univ. at College Station,14474,10519,6392,49,85,31643,2798,5130,3412,600,2144,89,91,23.1,29,8471,69,0
Longwood College,2747,1870,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62,0
LeTourneau University,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56,1
SUNY College at Purchase,2119,1264,390,5,33,2478,1441,6550,4760,1125,1362,80,100,14.9,8,8170,46,0
Dillard University,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61,1
Shorter College,540,445,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58,1
Louisiana State University at Baton Rouge,5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37,0
John Carroll University,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89,1
Rensselaer Polytechnic Institute,4996,4165,936,53,82,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70,1
University of Hawaii at Manoa,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54,0
Eastern Illinois University,5597,4253,1565,12,38,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76,0
Columbia College MO,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37,1
California Polytechnic-San Luis,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59,0
Monmouth College IL,601,503,204,28,57,671,11,13000,4100,400,460,91,91,11.6,43,11087,56,1
University of New Hampshire,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75,0
University of Wisconsin-Whitewater,4400,3719,1472,12,38,7804,1552,6950,2500,300,1200,90,95,23.1,16,5559,67,0
New Mexico Institute of Mining and Tech.,787,601,233,40,73,1017,411,5376,3214,600,1100,99,100,13.7,11,9241,34,0
Louisiana Tech University,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20.0,13,4546,45,0
Cazenovia College,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118,1
Augsburg College,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58,1
Marymount Manhattan College,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68,1
Wayne State College,1373,1373,724,6,21,2754,474,2700,2660,540,1660,60,68,20.3,29,4550,52,0
Coker College,604,452,295,15,47,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75,1
Winthrop University,2320,1805,769,24,61,3395,670,6400,3392,580,2150,71,80,12.8,26,6729,59,0
Savannah Coll. of Art and Design,1109,688,386,20,65,1897,208,8325,5000,1200,1600,14,98,16.1,26,6874,55,1
Michigan Technological University,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17.0,25,7473,65,0
Union College KY,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64,1
Embry Riddle Aeronautical University,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44,1
Univ. of Wisconsin at OshKosh,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56,0
Dowling College,1011,829,410,9,33,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42,1
American International College,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,1
University of Mobile,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52,1
Webber College,280,143,79,5,27,327,110,5590,2900,650,1952,53,63,15.1,4,4839,90,1
University of Maine at Presque Isle,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35,0
Lake Forest College,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77,1
Smith College,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90,1
Eastern College,458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54,1
Case Western Reserve University,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,1
University of Charleston,682,535,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,7683,57,1
Shippensburg University of Penn.,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72,0
Worcester Polytechnic Institute,2768,2314,682,49,86,2802,86,15884,5370,530,730,92,94,15.2,34,10774,82,1
Lewis and Clark College,2774,2092,482,35,64,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69,1
Meredith College,857,772,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82,1
Valley City State University,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40,0
University of Washington,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96,94,9.0,10,16527,65,0
Brigham Young University at Provo,7365,5402,4615,48,82,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33,1
Syracuse University,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67,1
Evergreen State College,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68,0
Sacred Heart University,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82,1
Florida Institute of Technology,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,1
Bellarmine College,807,707,308,39,63,1198,605,8840,2950,750,1290,74,82,13.1,31,6668,84,1
Brown University,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,1
Hood College,699,565,176,36,64,710,399,13960,6040,450,690,82,88,14.4,34,12434,72,1
Brewton-Parker College,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18,1
Belmont University,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,1
Kenyon College,2212,1538,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88,1
Southern Methodist University,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72,1
University of Maryland at College Park,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63,0
Flagler College,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69,1
Samford University,1680,1395,691,34,76,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61,1
Barnard College,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,1
Saint Joseph's University,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83,1
University of Notre Dame,7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97,1
Columbia College,737,614,242,21,67,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76,1
Taylor University,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60,61,14.2,32,8294,98,1
University of West Florida,1558,1254,472,20,57,3754,2477,6172,3994,541,1387,83,87,23.4,12,8488,53,0
Dickinson State University,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46,0
St. Lawrence University,2753,1820,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85,1
Waynesburg College,1190,978,324,12,30,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,63,1
Stephens College,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59,1
University of Miami,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59,1
Northwest Missouri State University,2729,2535,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54,0
Southwestern Adventist College,321,318,172,11,27,620,280,7536,3736,430,1651,44,77,13.0,12,5309,36,1
University of North Carolina at Chapel Hill,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83,0
Bethel College KS,202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56,1
College of Saint Elizabeth,444,359,122,34,53,493,968,10900,5250,380,1000,68,70,11.4,23,9447,78,1
Beloit College,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69,1
SUNY College at Geneseo,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76,0
Texas Lutheran College,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,7002,50,1
Coe College,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,1
Lincoln Memorial University,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53,1
Wagner College,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75,1
Virginia Union University,1847,1610,453,19,59,1298,67,7384,3494,500,1763,51,67,13.7,8,6757,30,1
SUNY at Stony Brook,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,57,0
Hamline University,1006,825,328,34,73,1362,102,13252,4194,450,550,89,93,13.0,33,10296,65,1
Saint Michael's College,1910,1380,463,16,64,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84,1
University of Minnesota at Morris,1458,874,588,56,86,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,51,0
Cumberland College,995,789,398,26,47,1306,122,6230,3526,400,600,42,44,13.0,4,8189,63,1
Texas Southern University,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10,0
Queens College,516,392,154,32,62,630,549,11020,4970,610,1900,73,75,14.0,36,9315,58,1
University of Richmond,5892,2718,756,46,72,2854,594,14500,3285,700,1125,75,89,11.7,32,11984,100,1
College of Saint Rose,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64,1
Denison University,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,1
Manhattan College,2432,1730,563,20,63,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79,1
Erskine College,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,1
Ohio University,11023,8298,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64,0
Georgia Institute of Technology,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70,0
St. Martin's College,191,165,63,5,25,494,574,11550,4270,300,500,43,77,14.5,8,9209,40,1
Georgetown College,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55,1
Immaculata College,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69,1
Ferrum College,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,1
Alma College,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,1
Ohio Northern University,2936,2342,669,35,62,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83,1
North Carolina A. & T. State University,4809,3089,1429,12,33,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44,0
University of Arkansas at Fayetteville,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,39,0
University of Rochester,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80,1
Grace College and Seminary,548,428,167,18,46,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64,1
Marywood College,1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66,1
University of Oregon,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54,0
Freed-Hardeman University,895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62,1
Defiance College,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56,1
Anderson University,1216,908,423,19,40,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,1
Knox College,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79,1
SUNY College  at Oswego,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22.0,21,5280,63,0
Culver-Stockton College,1576,1110,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51,1
Goucher College,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77,1
Simpson College,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70,1
Wilkes University,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78,92,13.3,24,8543,67,1
Alverno College,494,313,157,23,46,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55,1
Marietta College,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96,1
Buena Vista College,860,688,285,32,70,1928,442,13306,3797,450,950,62,69,8.8,10,6333,78,1
SUNY College at Potsdam,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59,0
Northwestern University,12289,5200,1902,85,98,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92,1
Albion College,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,1
Western Washington University,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61,0
Pacific University,943,849,288,41,71,1041,35,14210,3994,450,1100,76,76,10.9,22,11216,42,1
Miami University at Oxford,9239,7788,3290,35,39,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85,0
Spalding University,283,201,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89,1
Fairfield University,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,1
Saint John's University,933,800,444,18,45,1691,72,12247,4081,500,600,76,85,12.0,38,9853,70,1
Randolph-Macon College,1771,1325,306,21,46,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74,1
Catawba College,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,1
University of California at Irvine,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66,0
Marquette University,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77,1
University of Delaware,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75,1
Texas Wesleyan University,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43,1
University of Kansas,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57,0
Trinity College CT,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,18034,91,1
Doane College,793,709,244,20,47,1022,411,9570,3000,400,1000,67,72,15.1,42,6852,60,1
Tabor College,257,183,109,19,41,396,38,7850,3410,400,1500,55,70,10.0,15,7233,53,1
Gardner Webb University,1110,930,332,18,36,1603,374,8180,4270,500,500,65,58,15.2,12,5664,29,1
Alderson-Broaddus College,582,498,172,21,44,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52,1
Thiel College,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60,1
Montana State University,3500,2836,1779,15,42,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37,0
